state,account length,area code,international plan,voice mail plan,number vmail messages,total day minutes,total day calls,total day charge,total eve minutes,total eve calls,total eve charge,total night minutes,total night calls,total night charge,total intl minutes,total intl calls,total intl charge,customer service calls,churn
OR,6,408,no,no,0,,93,38.51,152.1,122,12.93,164.4,98,7.4,9.4,4,2.54,3.0,False
AR,145,415,no,no,0,,89,38.11,314.9,121,26.77,182.9,121,8.23,16.1,3,4.35,1.0,True
RI,113,415,no,no,0,,130,15.4,170.6,100,14.5,137.4,74,6.18,5.4,9,,1.0,False
KY,126,510,no,no,0,,120,29.82,98.3,71,8.36,,93,9.09,10.6,1,2.86,0.0,False
TN,80,415,yes,no,0,,122,47.01,195.6,79,16.63,210.3,78,9.46,7.2,3,1.94,1.0,True
DE,67,415,yes,yes,35,,59,30.79,215.9,116,18.35,216.3,106,9.73,16.9,4,4.56,0.0,True
SD,55,415,no,no,0,,130,41.74,192.7,54,16.38,141.7,83,6.38,9.1,4,2.46,1.0,False
MN,95,408,no,yes,32,,123,44.57,165.2,82,14.04,194.3,57,8.74,10.6,5,,0.0,False
WV,43,408,no,no,0,,147,39.13,186.7,121,15.87,,100,5.78,9.2,3,2.48,0.0,False
IN,168,415,no,no,0,,131,31.14,179.2,73,15.23,292.8,100,13.18,9.9,5,2.67,2.0,False
NC,169,408,no,no,0,,82,24.23,231.4,110,19.67,131.2,67,5.9,10.0,4,2.7,2.0,False
MS,70,510,no,no,0,,105,25.01,200.0,135,17.0,234.9,65,10.57,12.5,9,3.38,3.0,False
CA,96,510,no,yes,31,,126,31.18,195.5,106,16.62,180.1,93,8.1,10.5,5,2.84,1.0,False
LA,155,408,no,yes,39,,106,31.16,205.1,101,17.43,,90,11.87,5.1,7,1.38,1.0,False
MN,74,510,no,yes,33,,91,32.93,246.1,96,20.92,138.0,92,6.21,14.6,3,3.94,2.0,False
MN,124,510,no,no,0,,70,26.78,130.7,79,11.11,193.4,98,8.7,9.6,4,2.59,3.0,False
KS,46,510,no,no,0,,100,42.55,260.6,90,22.15,195.0,104,8.78,13.3,2,3.59,2.0,True
AK,55,408,no,yes,39,,101,23.68,178.3,117,15.16,,104,11.09,8.1,1,,3.0,False
AK,121,408,no,yes,34,,95,41.65,216.9,66,18.44,,125,5.06,7.5,8,2.03,0.0,False
CO,90,408,no,no,0,,102,18.68,220.8,114,18.77,104.0,133,4.68,10.9,6,2.94,0.0,False
MA,39,408,no,no,0,,158,10.27,306.2,120,26.03,,46,5.58,12.4,3,3.35,1.0,False
SC,104,415,no,no,0,,141,18.55,187.1,140,15.9,,100,9.75,10.0,4,2.7,3.0,False
IN,140,415,no,no,0,160.5,114,27.29,240.5,103,20.44,233.5,121,10.51,11.3,4,3.05,1.0,False
OH,75,415,no,no,0,150.6,99,25.6,301.5,83,25.63,,104,7.14,8.1,5,2.19,0.0,False
AR,109,510,no,no,0,,101,29.02,240.2,82,20.42,119.0,112,5.36,11.4,4,,2.0,False
TN,57,510,no,no,0,149.3,100,25.38,200.2,110,17.02,231.7,101,10.43,11.9,3,3.21,2.0,False
MO,142,415,no,yes,30,,75,26.18,165.8,97,14.09,270.0,83,12.15,10.8,5,2.92,1.0,False
MO,135,510,no,no,0,,129,41.96,187.8,121,15.96,,109,6.95,12.6,5,3.4,1.0,False
IL,79,408,yes,no,0,,134,17.6,319.3,111,27.14,239.9,124,10.8,8.4,4,2.27,2.0,False
MN,81,415,no,no,0,,93,33.73,210.9,108,17.93,,71,8.7,10.4,6,2.81,2.0,False
RI,176,415,no,no,0,,108,42.65,171.4,100,14.57,148.6,85,6.69,9.6,6,2.59,2.0,False
CO,159,408,yes,no,0,,53,43.71,312.2,127,26.54,,82,8.24,8.8,6,2.38,1.0,True
MA,121,510,no,yes,24,,88,37.09,348.5,108,29.62,212.6,118,9.57,7.5,7,2.03,3.0,False
NY,39,408,no,no,0,160.4,68,27.27,102.6,103,8.72,235.3,106,10.59,9.1,5,2.46,2.0,False
MS,123,415,yes,no,0,,106,21.34,128.9,96,10.96,,129,11.34,6.3,6,1.7,4.0,True
IA,98,415,no,no,0,,86,36.86,190.8,114,16.22,187.5,79,8.44,11.0,9,2.97,0.0,False
ND,190,415,no,no,0,,102,28.8,253.5,113,21.55,197.1,93,8.87,8.9,5,2.4,1.0,False
SD,138,510,no,no,0,,102,21.61,247.7,106,21.05,207.7,75,9.35,5.0,3,,3.0,False
OR,89,415,no,yes,12,,105,31.96,151.3,107,12.86,201.9,132,9.09,10.5,3,,2.0,False
KS,47,510,yes,no,0,,120,8.13,178.9,123,15.21,152.6,96,6.87,13.3,7,,0.0,True
OH,68,510,no,no,0,,80,24.41,134.3,65,11.42,215.6,84,9.7,15.5,5,,2.0,False
CO,66,408,no,yes,40,,87,24.09,268.3,89,22.81,,68,10.86,8.5,7,2.3,0.0,False
CO,118,415,no,yes,36,,106,50.13,165.7,115,14.08,189.2,63,8.51,9.8,5,2.65,3.0,False
NH,67,415,no,yes,40,,65,17.83,216.3,93,18.39,217.4,128,9.78,9.6,9,,1.0,False
SD,113,415,yes,no,0,204.3,82,34.73,188.8,115,16.05,139.4,97,6.27,9.2,7,2.48,1.0,False
NV,90,415,no,no,0,,146,34.58,226.7,117,19.27,152.4,105,6.86,7.3,4,1.97,1.0,False
MN,155,408,yes,no,0,,146,42.64,152.5,105,12.96,148.1,104,6.66,10.0,5,2.7,2.0,False
AZ,113,510,no,no,0,,116,13.82,220.6,124,18.75,,113,10.61,8.9,3,,0.0,False
GA,125,415,no,yes,39,,107,40.14,289.2,110,24.58,175.4,107,7.89,9.1,4,2.46,2.0,False
IL,48,408,no,no,0,,73,33.69,202.8,115,17.24,,73,6.59,5.1,5,1.38,1.0,False
AL,141,510,no,yes,28,,123,52.36,247.8,128,21.06,152.9,103,6.88,7.4,3,2.0,1.0,False
NY,119,415,no,no,0,,102,22.68,204.6,71,17.39,,103,8.86,11.1,7,3.0,1.0,False
HI,134,415,no,yes,38,,93,36.45,211.7,57,17.99,165.0,79,7.43,10.0,8,2.7,1.0,False
LA,91,408,no,no,0,,121,25.02,175.2,87,14.89,,80,6.13,13.3,3,3.59,2.0,False
WA,29,415,no,no,0,,122,26.76,145.0,75,12.33,281.8,92,12.68,9.3,2,,1.0,False
NC,155,408,no,no,0,262.4,55,44.61,194.6,113,16.54,,85,6.59,8.3,6,2.24,2.0,False
NJ,100,415,no,no,0,,122,34.65,283.1,76,24.06,197.3,83,8.88,12.5,3,3.38,0.0,False
WV,123,415,no,no,0,,78,29.87,184.6,96,15.69,156.9,92,7.06,9.1,2,2.46,2.0,False
OH,74,415,no,no,0,,106,23.24,228.6,105,19.43,265.3,114,11.94,9.8,4,2.65,0.0,False
NE,64,510,no,no,0,,73,37.26,167.0,65,14.2,,119,7.26,10.0,5,2.7,1.0,False
SD,125,415,no,no,0,,73,27.85,255.6,85,21.73,192.9,95,8.68,15.7,4,4.24,0.0,False
GA,76,415,no,no,0,,125,50.92,226.7,92,19.27,,134,9.48,13.7,4,,0.0,True
NH,114,415,no,no,0,,85,28.83,58.9,86,5.01,179.3,124,8.07,7.4,8,2.0,1.0,False
NH,119,415,no,yes,19,,110,30.28,212.8,100,18.09,226.3,123,10.18,10.0,6,2.7,1.0,False
UT,72,415,no,no,0,,106,20.09,167.2,136,14.21,214.2,106,9.64,12.2,3,3.29,3.0,False
AR,115,408,no,no,0,,115,45.56,153.6,106,13.06,,65,10.45,17.0,1,4.59,3.0,False
CT,37,408,no,no,0,,98,22.93,248.4,130,21.11,236.2,113,10.63,14.7,2,3.97,3.0,False
NY,144,408,no,no,0,,117,10.47,77.1,85,6.55,173.0,99,7.79,8.2,7,2.21,4.0,True
SD,87,415,no,yes,33,125.0,99,21.25,235.3,81,20.0,215.3,95,9.69,10.2,7,2.75,2.0,False
LA,163,408,no,yes,23,224.0,126,38.08,233.5,89,19.85,,104,13.23,8.8,4,2.38,1.0,False
WA,134,408,no,no,0,,86,35.41,253.6,89,21.56,291.0,86,13.1,12.6,3,,1.0,False
WV,11,510,no,yes,38,,130,35.67,196.6,84,16.71,,79,10.49,7.0,7,1.89,1.0,False
IA,143,510,no,yes,33,,130,24.04,186.4,114,15.84,210.0,111,9.45,7.7,6,,1.0,False
WY,90,415,no,no,0,,121,35.22,292.5,104,24.86,,103,10.18,8.0,1,2.16,2.0,False
AK,127,510,no,yes,36,,117,31.14,126.8,76,10.78,263.3,71,11.85,11.2,8,,1.0,False
MN,161,415,no,yes,39,,76,37.15,112.7,94,9.58,205.1,121,9.23,7.3,4,1.97,1.0,False
OK,52,408,no,no,0,,68,36.5,158.6,138,13.48,123.4,114,5.55,9.4,4,2.54,2.0,False
UT,47,408,no,yes,37,,150,19.18,243.9,97,20.73,178.7,112,8.04,13.2,6,,2.0,False
AK,97,415,no,yes,24,,109,29.94,159.4,81,13.55,269.1,94,12.11,12.1,9,3.27,0.0,False
NY,54,510,yes,no,0,,91,40.17,152.8,130,12.99,160.3,98,7.21,11.2,8,3.02,3.0,False
AK,96,408,no,yes,29,,91,25.5,159.4,75,13.55,228.1,55,10.26,8.5,3,2.3,1.0,False
NM,81,415,no,no,0,,80,29.44,236.2,94,20.08,240.2,84,10.81,11.8,6,3.19,2.0,False
CT,125,415,yes,no,0,,118,31.84,160.7,111,13.66,263.8,112,11.87,9.6,2,2.59,0.0,True
VT,152,510,no,yes,20,,108,36.48,96.6,82,8.21,,145,7.68,7.9,5,2.13,1.0,False
MI,127,510,no,yes,25,,118,34.65,267.1,48,22.7,,105,10.13,7.3,5,1.97,0.0,False
NY,77,415,no,yes,33,,101,24.31,212.2,102,18.04,104.9,120,4.72,15.3,4,,5.0,True
ME,177,415,no,no,0,,106,39.58,175.2,97,14.89,212.2,77,9.55,12.5,7,3.38,2.0,False
NM,183,415,no,no,0,,100,32.3,246.6,78,20.96,304.2,107,13.69,9.5,4,2.57,1.0,False
KY,124,415,no,no,0,,103,32.98,241.0,116,20.49,227.5,153,10.24,11.9,5,3.21,0.0,False
TN,148,415,no,yes,36,,141,13.19,207.0,60,17.6,255.7,115,11.51,10.9,2,2.94,1.0,False
AR,94,408,no,no,0,136.2,114,23.15,165.1,118,14.03,,71,6.21,9.6,5,2.59,0.0,False
VT,193,408,no,yes,17,,102,21.08,202.9,81,17.25,205.1,129,9.23,12.3,3,3.32,1.0,False
HI,105,415,no,no,0,281.3,124,47.82,301.5,96,25.63,202.8,109,9.13,8.7,3,2.35,0.0,True
IL,44,415,no,yes,34,,105,37.71,161.7,85,13.74,227.7,62,10.25,14.0,7,3.78,0.0,False
CT,90,415,no,no,0,,111,29.9,285.2,115,24.24,150.8,122,6.79,13.0,7,3.51,1.0,False
WV,43,415,no,no,0,,125,28.63,243.8,89,20.72,,102,9.66,11.1,2,,1.0,False
DE,90,415,no,no,0,,124,33.75,266.6,100,22.66,243.3,80,10.95,8.0,7,2.16,2.0,False
WI,117,408,no,yes,14,,81,13.63,219.0,103,18.62,122.6,102,5.52,8.6,2,2.32,1.0,False
VA,163,415,no,no,0,,100,34.49,178.6,46,15.18,,116,9.17,12.8,3,3.46,5.0,False
OR,82,415,no,yes,19,,73,24.91,246.4,65,20.94,,114,8.96,4.1,4,1.11,1.0,False
WI,44,415,yes,no,0,62.3,92,10.59,275.0,82,23.38,138.7,108,6.24,10.8,3,2.92,1.0,False
WA,97,408,no,no,0,,82,46.94,201.1,106,17.09,231.3,73,10.41,8.9,4,2.4,0.0,True
DE,112,408,no,no,0,101.1,119,17.19,214.4,67,18.22,,112,8.08,10.3,5,2.78,2.0,False
CT,152,408,no,yes,20,,105,40.65,209.1,111,17.77,268.2,130,12.07,13.3,3,3.59,5.0,False
WV,50,510,no,no,0,,108,22.39,216.5,103,18.4,196.1,126,8.82,11.0,5,2.97,1.0,False
ID,193,415,no,no,0,,92,16.46,142.6,103,12.12,210.1,115,9.45,10.9,5,2.94,2.0,True
FL,99,408,no,no,0,,93,26.4,265.7,95,22.58,145.7,67,6.56,12.4,4,3.35,0.0,False
ME,148,408,no,yes,33,,84,41.09,165.8,84,14.09,,80,7.23,11.3,3,3.05,1.0,False
LA,67,510,no,no,0,,97,52.77,66.5,123,5.65,246.5,99,11.09,9.2,10,2.48,4.0,False
MN,117,408,no,no,0,,104,27.47,196.3,119,16.69,,111,13.27,13.8,2,3.73,1.0,False
TX,75,415,yes,no,0,,78,37.81,327.0,111,27.8,208.0,104,9.36,8.7,9,2.35,1.0,True
KY,96,415,no,yes,40,,90,18.46,206.4,154,17.54,,118,5.68,13.4,4,,0.0,False
CO,55,408,no,yes,25,,123,28.15,136.1,95,11.57,175.7,90,7.91,11.0,2,2.97,3.0,False
SC,73,415,no,no,0,,45,34.56,141.9,87,12.06,,71,9.03,8.5,6,2.3,0.0,False
NE,189,415,no,yes,38,256.7,98,43.64,150.5,120,12.79,123.0,87,5.54,11.4,3,3.08,3.0,False
MD,98,415,no,no,0,,92,35.11,176.2,152,14.98,232.8,115,10.48,12.4,5,3.35,5.0,False
MO,72,415,no,no,0,,114,28.2,235.9,97,20.05,210.1,120,9.45,12.0,5,3.24,2.0,False
NC,58,510,no,no,0,112.2,95,19.07,209.6,108,17.82,,78,11.74,13.9,1,3.75,0.0,True
NE,66,415,no,no,0,,133,5.78,278.6,61,23.68,129.6,120,5.83,11.5,3,3.11,0.0,False
MN,135,408,no,no,0,,100,26.38,135.9,84,11.55,,82,8.31,3.8,9,1.03,3.0,False
CT,184,510,yes,no,0,,105,36.35,159.6,84,13.57,139.2,137,6.26,5.0,10,1.35,2.0,False
IN,77,408,no,no,0,185.9,95,31.6,212.0,98,18.02,282.3,81,12.7,11.3,4,,3.0,False
WI,143,510,no,no,0,194.3,99,33.03,123.6,133,10.51,,99,10.33,10.2,2,2.75,2.0,False
MI,116,408,no,no,0,,94,22.66,247.8,126,21.06,,78,9.86,11.3,5,3.05,5.0,True
IA,113,510,no,no,0,,141,26.52,256.8,72,21.83,175.3,123,7.89,11.9,5,3.21,2.0,False
NM,30,415,no,no,0,,144,28.88,225.2,118,19.14,169.7,93,7.64,11.4,7,3.08,1.0,False
AR,138,510,no,no,0,146.5,101,24.91,284.5,142,24.18,176.0,98,7.92,14.0,6,3.78,3.0,False
NE,63,415,no,no,0,,80,35.9,237.7,93,20.2,259.2,58,11.66,12.3,2,,0.0,False
OH,68,415,yes,yes,24,,92,21.37,275.9,98,23.45,214.5,108,9.65,14.2,6,3.83,3.0,True
DC,169,415,yes,no,0,,98,9.71,199.7,78,16.97,274.7,103,12.36,6.5,6,,3.0,False
MD,106,415,no,no,0,,89,35.41,169.4,67,14.4,102.0,90,4.59,15.9,4,,3.0,False
AR,100,510,no,no,0,,87,24.23,195.7,88,16.63,122.1,117,5.49,7.8,8,2.11,2.0,False
MA,87,408,no,no,0,186.9,79,31.77,182.6,105,15.52,143.1,90,6.44,4.2,14,1.13,1.0,False
NE,31,415,no,no,0,,129,16.58,260.4,78,22.13,88.7,100,3.99,7.0,5,1.89,1.0,False
MN,40,510,no,no,0,,123,13.89,210.2,108,17.87,212.0,64,9.54,11.3,3,,6.0,True
KY,105,415,no,yes,24,,99,46.7,193.5,118,16.45,299.6,109,13.48,10.8,3,2.92,3.0,False
NJ,93,510,yes,yes,38,,117,38.37,119.6,122,10.17,193.2,125,8.69,14.0,7,,1.0,True
AL,60,408,yes,yes,29,,113,45.2,215.8,94,18.34,,82,4.86,14.0,12,3.78,0.0,True
CA,79,510,no,no,0,,85,26.79,194.1,92,16.5,231.5,86,10.42,9.4,10,2.54,5.0,True
IA,40,510,no,no,0,,115,28.85,141.4,123,12.02,,115,11.39,10.5,3,2.84,4.0,True
ID,79,510,no,yes,21,,79,44.93,202.8,118,17.24,173.4,92,7.8,6.3,3,1.7,4.0,False
AK,48,415,no,yes,37,,115,35.99,159.9,84,13.59,144.1,80,6.48,12.2,1,3.29,1.0,False
MA,150,408,no,yes,27,,112,35.67,155.0,80,13.18,,111,11.32,7.2,6,1.94,0.0,False
IL,91,415,no,no,0,,100,32.18,239.3,107,20.34,,89,4.04,9.9,3,,3.0,False
WI,165,408,no,no,0,,88,26.52,276.1,81,23.47,175.9,94,7.92,9.3,5,2.51,1.0,False
WV,70,415,no,no,0,,87,36.52,131.0,114,11.14,,104,9.76,9.4,3,2.54,3.0,False
ME,100,510,no,no,0,,117,44.97,194.0,111,16.49,262.7,111,11.82,7.5,4,2.03,2.0,True
NY,140,415,no,no,0,,81,40.04,257.2,130,21.86,103.1,111,4.64,11.5,4,3.11,2.0,False
MA,80,408,no,yes,36,,115,32.35,256.6,78,21.81,214.9,145,9.67,3.8,4,1.03,1.0,False
MA,101,415,no,yes,21,,88,40.46,209.6,84,17.82,233.0,95,10.49,10.0,5,2.7,2.0,False
CO,132,415,no,no,0,,66,33.63,133.9,119,11.38,177.3,94,7.98,10.9,3,2.94,4.0,True
MD,204,510,no,no,0,205.2,145,34.88,154.8,95,13.16,191.4,77,8.61,14.1,5,3.81,3.0,False
ND,136,510,yes,no,0,256.8,90,43.66,230.1,104,19.56,143.6,82,6.46,9.1,10,2.46,3.0,False
WV,125,415,no,no,0,206.0,128,35.02,198.1,71,16.84,135.9,116,6.12,13.2,3,3.56,0.0,False
AK,117,415,no,no,0,,95,30.86,205.1,88,17.43,204.0,82,9.18,14.7,9,3.97,2.0,False
NV,64,415,no,no,0,,80,16.52,186.2,90,15.83,189.0,92,8.5,10.4,6,2.81,2.0,False
AZ,140,408,no,no,0,,91,29.44,196.8,106,16.73,209.3,128,9.42,11.2,5,3.02,3.0,False
UT,68,415,no,no,0,,86,27.56,155.0,86,13.18,189.7,87,8.54,11.0,9,2.97,5.0,True
PA,85,408,no,no,0,,88,24.55,264.6,105,22.49,,94,8.34,9.9,3,2.67,1.0,False
WY,99,408,no,yes,28,,88,34.12,264.2,116,22.46,172.7,102,7.77,9.1,5,2.46,1.0,False
MA,123,415,no,no,0,,49,35.6,237.4,117,20.18,239.2,98,10.76,9.8,11,2.65,1.0,False
AL,87,408,no,no,0,237.2,124,40.32,222.6,87,18.92,173.3,81,7.8,11.0,3,2.97,1.0,False
CT,70,408,no,no,0,,111,33.76,213.9,115,18.18,,105,7.7,10.6,6,,2.0,False
MA,47,415,no,no,0,,116,26.4,188.2,85,16.0,,73,11.12,12.3,4,3.32,3.0,False
MO,161,510,no,no,0,,95,37.69,193.0,82,16.41,194.1,113,8.73,6.5,4,1.76,3.0,False
NM,132,408,no,no,0,,78,36.48,251.7,98,21.39,240.8,88,10.84,13.9,2,3.75,0.0,False
OR,95,415,no,no,0,,120,45.73,233.7,120,19.86,179.3,61,8.07,7.3,4,,2.0,True
MT,50,415,no,yes,22,,112,42.99,177.9,99,15.12,158.4,146,7.13,8.5,4,2.3,3.0,False
MS,121,415,no,yes,21,126.3,84,21.47,209.6,102,17.82,192.5,129,8.66,10.6,2,2.86,1.0,False
WI,92,415,no,no,0,,101,26.81,298.6,100,25.38,,99,9.76,13.8,3,3.73,1.0,False
VA,34,415,no,no,0,,102,25.67,131.4,101,11.17,,86,8.4,9.9,7,,0.0,False
OH,127,408,no,no,0,,94,23.73,240.9,112,20.48,127.1,88,5.72,8.8,4,,2.0,False
LA,123,510,no,yes,32,,77,36.09,251.5,78,21.38,208.7,85,9.39,6.6,2,,3.0,False
IA,44,415,no,no,0,,139,52.46,150.8,94,12.82,198.7,66,8.94,7.3,3,1.97,4.0,True
OR,161,408,no,no,0,,73,33.42,170.2,79,14.47,,79,8.74,12.5,3,3.38,1.0,False
OR,69,415,no,no,0,,76,28.48,242.1,92,20.58,,103,4.55,11.4,4,3.08,2.0,False
OH,94,510,no,no,0,,62,33.0,227.2,54,19.31,190.4,115,8.57,15.3,4,4.13,1.0,False
IL,83,415,no,no,0,,92,33.15,210.5,83,17.89,180.6,92,8.13,11.0,13,2.97,0.0,False
ME,80,408,no,no,0,,113,54.79,222.0,95,18.87,,123,7.33,6.7,8,1.81,0.0,True
HI,3,408,no,no,0,,99,23.63,250.7,108,21.31,,87,12.88,6.1,3,,4.0,False
WV,104,415,no,no,0,,123,38.4,162.8,106,13.84,272.1,85,12.24,10.1,4,,1.0,False
NV,183,415,no,no,0,116.7,92,19.84,213.8,112,18.17,214.3,112,9.64,9.7,6,2.62,2.0,False
ND,35,415,no,no,0,,87,44.34,258.1,78,21.94,131.3,123,5.91,5.8,2,,1.0,False
PA,136,408,no,no,0,,75,17.36,219.5,97,18.66,73.7,92,3.32,9.8,5,2.65,0.0,False
FL,98,408,no,no,0,,101,48.98,137.9,93,11.72,206.5,88,9.29,0.0,0,0.0,0.0,False
NE,89,415,no,yes,29,,80,27.8,274.8,136,23.36,381.9,147,17.19,7.5,5,2.03,2.0,False
VT,60,415,no,no,0,,118,32.96,85.0,110,7.23,210.1,134,9.45,13.2,8,3.56,3.0,False
MA,51,415,no,no,0,,99,31.13,160.1,107,13.61,,121,14.03,7.0,3,1.89,1.0,False
MN,125,415,yes,yes,29,,81,44.34,163.7,112,13.91,,117,12.23,17.0,6,4.59,1.0,True
DE,96,415,no,yes,26,,96,29.89,206.6,84,17.56,178.0,105,8.01,11.1,2,3.0,2.0,False
NJ,42,415,no,yes,32,,80,27.85,177.8,123,15.11,,106,8.57,8.1,5,2.19,0.0,False
UT,85,510,no,no,0,,107,36.09,228.4,103,19.41,,116,7.35,7.7,3,2.08,0.0,False
NH,60,415,no,no,0,,67,30.65,208.0,68,17.68,,101,8.15,12.8,6,3.46,2.0,False
IA,52,408,no,no,0,,108,32.62,269.8,96,22.93,236.8,87,10.66,7.8,5,2.11,3.0,False
DC,60,408,no,no,0,179.3,147,30.48,208.9,89,17.76,248.2,98,11.17,13.5,6,3.65,1.0,True
MT,13,415,no,yes,31,265.3,94,45.1,147.6,95,12.55,259.3,117,11.67,12.9,1,3.48,1.0,False
AR,63,510,no,yes,49,214.9,86,36.53,198.2,89,16.85,170.8,139,7.69,8.2,5,2.21,0.0,False
TX,87,415,no,no,0,,105,28.75,169.9,102,14.44,,106,11.02,9.9,10,2.67,3.0,False
SC,140,510,no,yes,28,,77,26.71,172.4,97,14.65,184.5,94,8.3,11.1,9,3.0,1.0,False
NY,148,408,no,no,0,208.4,120,35.43,174.4,99,14.82,310.7,105,13.98,11.2,4,3.02,1.0,False
MN,122,415,no,no,0,,101,39.8,200.2,121,17.02,,89,10.68,13.1,9,3.54,2.0,False
UT,110,415,no,no,0,,108,46.09,237.0,122,20.15,239.9,122,10.8,9.8,5,2.65,2.0,True
NJ,75,415,no,yes,42,,93,42.31,170.8,108,14.52,104.5,91,4.7,11.2,8,3.02,1.0,False
HI,101,510,no,no,0,,127,15.95,150.0,104,12.75,241.1,116,10.85,10.7,2,2.89,1.0,False
AZ,138,415,no,no,0,,104,40.94,144.5,92,12.28,,98,5.66,11.6,1,3.13,0.0,False
KS,91,408,yes,no,0,,110,41.89,182.0,98,15.47,157.6,106,7.09,12.1,2,3.27,2.0,True
RI,17,415,no,no,0,,123,27.46,214.2,81,18.21,315.0,106,14.18,8.6,5,2.32,1.0,False
CO,105,408,no,no,0,,98,46.05,226.2,110,19.23,178.8,60,8.05,8.8,5,2.38,0.0,True
TN,63,415,no,no,0,,75,27.97,147.9,118,12.57,252.7,97,11.37,11.2,2,3.02,0.0,False
MS,158,510,no,no,0,,105,29.9,188.3,88,16.01,188.3,98,8.47,11.0,6,,1.0,False
UT,148,510,no,no,0,,92,34.51,150.9,125,12.83,,131,11.05,14.6,9,,1.0,False
SD,128,510,yes,yes,32,,81,38.0,188.8,74,16.05,154.9,101,6.97,9.4,2,2.54,2.0,True
VA,139,415,yes,no,0,,121,27.46,192.9,137,16.4,168.3,96,7.57,11.2,13,3.02,0.0,False
ND,27,415,no,no,0,,67,38.66,248.0,115,21.08,61.4,109,2.76,7.8,6,2.11,1.0,False
LA,149,415,no,yes,20,,77,33.81,274.0,88,23.29,190.7,76,8.58,14.3,9,3.86,1.0,False
MD,51,510,no,yes,28,276.7,121,47.04,203.7,99,17.31,246.2,88,11.08,8.3,3,2.24,0.0,False
WI,67,510,no,no,0,,134,18.55,142.3,76,12.1,91.2,86,4.1,10.9,5,2.94,2.0,False
MN,99,408,no,no,0,,86,21.9,203.9,105,17.33,282.6,131,12.72,14.1,4,,2.0,False
MD,106,510,no,no,0,,95,36.36,151.9,70,12.91,,124,11.7,12.2,5,3.29,3.0,False
GA,117,415,yes,no,0,,118,48.86,259.6,84,22.07,,86,6.89,10.0,3,,1.0,True
MN,122,415,no,no,0,,120,23.82,231.4,128,19.67,188.1,127,8.46,11.2,5,3.02,2.0,False
NE,194,408,no,no,0,,101,8.23,281.1,138,23.89,218.5,87,9.83,18.2,1,4.91,1.0,False
GA,98,408,no,no,0,,77,28.88,138.3,155,11.76,,105,6.42,8.5,7,2.3,1.0,False
MS,98,415,yes,yes,23,245.5,54,41.74,292.7,83,24.88,,90,8.28,10.8,7,2.92,1.0,False
ID,148,510,no,yes,14,,137,15.91,193.8,72,16.47,,84,6.52,17.5,5,4.73,1.0,False
MS,136,415,no,yes,24,,76,29.68,176.6,114,15.01,,91,9.65,8.8,5,,2.0,False
AR,33,415,yes,no,0,,99,27.88,153.1,102,13.01,,104,5.57,6.4,4,,0.0,False
NH,142,408,yes,yes,25,,109,32.49,149.6,120,12.72,,60,10.25,9.8,3,2.65,0.0,False
AK,126,415,no,yes,31,,88,47.26,253.2,65,21.52,,114,10.04,8.7,4,2.35,0.0,False
NC,55,408,yes,no,0,,115,37.57,165.4,97,14.06,235.4,117,10.59,9.7,4,,1.0,False
OH,143,415,no,no,0,,99,37.96,167.1,128,14.2,203.0,84,9.14,4.5,4,1.22,0.0,True
OH,63,415,yes,yes,36,,110,33.83,291.3,111,24.76,197.6,92,8.89,11.0,6,2.97,1.0,False
LA,53,415,no,no,0,145.1,116,24.67,233.7,82,19.86,,95,9.39,7.9,5,2.13,2.0,False
NH,101,510,no,no,0,,124,37.45,188.6,101,16.03,278.4,98,12.53,10.6,4,2.86,1.0,False
WI,116,415,no,yes,35,,104,34.07,272.8,89,23.19,214.5,100,9.65,8.3,4,2.24,1.0,False
NC,89,408,no,no,0,,151,18.0,189.6,142,16.12,,67,7.69,12.7,7,3.43,0.0,False
NV,76,510,yes,no,0,,120,40.97,231.8,96,19.7,220.2,67,9.91,9.9,1,2.67,1.0,True
WY,57,408,no,yes,39,,115,36.21,191.1,112,16.24,182.7,115,8.22,9.5,3,2.57,0.0,False
MS,111,415,no,yes,36,96.8,123,16.46,170.6,105,14.5,166.0,85,7.47,13.4,4,3.62,2.0,False
DE,75,510,no,yes,28,,96,34.1,164.1,111,13.95,169.6,153,7.63,2.5,5,0.68,1.0,False
AL,49,415,no,yes,28,,78,36.45,235.2,100,19.99,206.2,107,9.28,8.0,13,2.16,3.0,False
PA,176,415,no,no,0,,151,28.82,112.9,84,9.6,,99,2.55,8.7,4,2.35,0.0,False
WI,165,510,no,no,0,,91,26.21,268.6,108,22.83,188.8,99,8.5,10.9,4,2.94,6.0,False
AZ,85,408,no,no,0,,52,34.24,229.4,104,19.5,252.5,106,11.36,12.0,3,3.24,1.0,False
MT,49,408,no,no,0,,91,40.22,220.9,146,18.78,146.8,114,6.61,8.9,2,2.4,1.0,False
UT,103,415,no,no,0,,110,32.27,115.5,83,9.82,191.3,103,8.61,12.2,4,3.29,0.0,False
KS,127,415,no,yes,24,,69,26.32,177.2,105,15.06,207.6,102,9.34,9.0,4,,1.0,False
CT,72,408,no,yes,21,,108,31.74,335.0,86,28.48,187.2,119,8.42,16.5,4,,1.0,False
NC,54,415,yes,no,0,,108,32.39,259.7,108,22.07,,111,6.37,9.7,2,2.62,2.0,True
CT,146,408,no,yes,23,149.6,96,25.43,239.8,124,20.38,293.5,135,13.21,7.4,4,2.0,2.0,False
